,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.6268008346928041+0j),(0.0026098272084396443+0j),(3.0628282674173564-212.90299973370736j),(0.03721535950899124+0j),(3.377859059128241e-07+0j),(6.04841818025465e-08+0j),(0.17906070307787286+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.6268610171197064+0j),(0.002640620830441965+0j),(3.6817500639176677-212.35293012665025j),(0.04373745247721672+0j),(4.081119584498083e-07+0j),(8.354189839186355e-08+0j),(0.20470338264331445+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.6269218774218818+0j),(0.002668525157294673+0j),(4.551371293648665-211.79911656431864j),(0.049609169363975525+0j),(5.070669999440724e-07+0j),(1.0747842250858194e-07+0j),(0.21196098843039757+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.626983348686255+0j),(0.002693525121491203+0j),(5.844914156307063-211.23177992968573j),(0.05450229346752167+0j),(6.544832444888016e-07+0j),(1.297259704920342e-07+0j),(0.19821129354252529+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.6270453636973911+0j),(0.00271560960634598+0j),(7.845928094633379-210.64801134151244j),(0.05821019038558006+0j),(8.828731097310083e-07+0j),(1.479774067111662e-07+0j),(0.16760891806553221+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.6271078550282733+0j),(0.00273477140441615+0j),(10.998196326553314-210.04865260806028j),(0.060681119561195374+0j),(1.2429754860932007e-06+0j),(1.608068491384668e-07+0j),(0.1293725024649514+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.627170755130027+0j),(0.002751007167793166+0j),(15.965173025486136-209.40548105751066j),(0.061984509229660034+0j),(1.809877403502469e-06+0j),(1.6778908533640312e-07+0j),(0.09270743146010786+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.6272339964204047+0j),(0.0027643173504807352+0j),(23.686536438814795-208.51839976560115j),(0.0622539184987545+0j),(2.68913026957307e-06+0j),(1.6925081093601276e-07+0j),(0.06293886646216036+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.6272975113708502+0j),(0.002774706143098824+0j),(35.382942320885235-206.5752120922136j),(0.0617026649415493+0j),(4.02759314965806e-06+0j),(1.6626667656344966e-07+0j),(0.041281894765752496+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.627361232591969+0j),(0.0027821814001764045+0j),(52.33810094460534-201.3631505957126j),(0.06065727397799492+0j),(6.045502232154831e-06+0j),(1.6068049090023544e-07+0j),(0.026578518166052056+0j),(25+0j),(2.0367556734508872e-06+0j)
