,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
0,(0.004020126480312548+0j),(0.016845503949680735+0j),(-0.0003554515684767261+0j),(14.7325333718719-30.905131824188135j),(0.7523309588432312+0j),(6.28426787443459e-05+0j),(2.3865613698734097e-05+0j),(0.3797676065946081+0j),(-20+0j),(2.0367373061039487e-06+0j)
1,(0.0071566794598379255+0j),(0.016836078395350885+0j),(-0.0003485922998104292+0j),(14.893354049356319-30.664908441933363j),(0.7662642598152161+0j),(6.407674663932994e-05+0j),(2.4757790211361925e-05+0j),(0.3863771416285629+0j),(-15+0j),(2.036739346920275e-06+0j)
2,(0.010286169661136157+0j),(0.016826841476471673+0j),(-0.0003413337660298703+0j),(15.102456582782715-30.40998634705351j),(0.7797150611877441+0j),(6.550038960995153e-05+0j),(2.5634602402050073e-05+0j),(0.3913656476656345+0j),(-10+0j),(2.0367413877366017e-06+0j)
3,(0.01340550865484291+0j),(0.0168178037514217+0j),(-0.00033368422970262015+0j),(15.393004564147324-30.12188254402914j),(0.7924838662147522+0j),(6.726104038534686e-05+0j),(2.6481074194791386e-05+0j),(0.3937059855613+0j),(-5+0j),(2.036743428552928e-06+0j)
4,(0.016511618029973682+0j),(0.016808975549678435+0j),(-0.000325652559689382+0j),(15.817627932028122-29.76968911572627j),(0.8042510747909546+0j),(6.959333404665813e-05+0j),(2.7273321954492974e-05+0j),(0.391895607935781+0j),0j,(2.0367454693692547e-06+0j)
5,(0.019601432431580273+0j),(0.016800366955724594+0j),(-0.00031724822312182886+0j),(16.45816530767611-29.301541349115567j),(0.8145046234130859+0j),(7.285903120646253e-05+0j),(2.797318045946647e-05+0j),(0.3839356631053485+0j),(5+0j),(2.036747510185581e-06+0j)
6,(0.022671902585531714+0j),(0.016791987793184922+0j),(-0.0003084812761761952+0j),(17.439220583507364-28.628750596975642j),(0.822409451007843+0j),(7.759505388094112e-05+0j),(2.8518778779656726e-05+0j),(0.36753346190615255+0j),(10+0j),(2.0367495510019077e-06+0j)
7,(0.025719998309199396+0j),(0.01678384760922569+0j),(-0.00029936235364299923+0j),(18.94644201790833-27.593914586469175j),(0.8265411257743835+0j),(8.455268834950402e-05+0j),(2.8806047609968626e-05+0j),(0.34068754255212985+0j),(15+0j),(2.0367515918182342e-06+0j)
8,(0.028742711499748302+0j),(0.016775955659248946+0j),(-0.0002899026572942942+0j),(21.251480314044173-25.90121646069495j),(0.824238657951355+0j),(9.466144547332078e-05+0j),(2.8645783066542617e-05+0j),(0.3026129901493644+0j),(20+0j),(2.0367536326345607e-06+0j)
9,(0.03173705910419588+0j),(0.016768320891913647+0j),(-0.00028011394305025027+0j),(24.756169754905095-22.943377262899194j),(0.8097220659255981+0j),(0.00010864953219424933+0j),(2.7645642543852462e-05+0j),(0.2544478746068242+0j),(25+0j),(2.0367556734508872e-06+0j)
10,(0.03470008606296842+0j),(0.016760951934515805+0j),(-0.00027000850694691725+0j),(30.166598682757012-17.206905383989536j),(0.7668551206588745+0j),(0.00012505825725384057+0j),(2.479598603885672e-05+0j),(0.19827548043090318+0j),(30+0j),(2.0367577142672137e-06+0j)
11,(0.037628868226188134+0j),(0.01675385707875961+0j),(-0.00025959916990692133+0j),(42.493064731609024+2.798865405544761j),(0.5672723650932312+0j),(0.00011715797882061452+0j),(1.3568692294588373e-05+0j),(0.11581534976259676+0j),(35+0j),(2.0367597550835403e-06+0j)
12,(0.04052051523912342+0j),(0.016747044266951453+0j),(-0.0002488992613140841+0j),(103.72491975304105+113.66905857836586j),(0.07865811139345169+0j),(2.190184204664547e-05+0j),(2.608805903838994e-07+0j),(0.01191135384084538+0j),(40+0j),(2.0367617958998668e-06+0j)
13,(0.04337217339595485+0j),(0.01674052107864888+0j),(-0.00023792260139172424+0j),(117.66063186743203+227.88772432890903j),(0.01701430045068264+0j),(8.9439317889628e-06+0j),(1.2206268941575234e-08+0j),(0.001364754252334337+0j),(45+0j),(2.0367638367161933e-06+0j)
14,(0.04618102845402938+0j),(0.016734294717796482+0j),(-0.00022668348238288446+0j),,,,,,,(2.0367658775325198e-06+0j)
15,(0.0489443084125218+0j),(0.01672837200038069+0j),(-0.0002151966485283973+0j),,,,,,,(2.0367679183488463e-06+0j)
16,(0.051659286247727844+0j),(0.016722759342635812+0j),(-0.00020347727483575957+0j),,,,,,,(2.036769959165173e-06+0j)
17,(0.054323282604307334+0j),(0.01671746274983368+0j),(-0.00019154094462840268+0j),,,,,,,(2.0367719999814993e-06+0j)
18,(0.056933668439185375+0j),(0.01671248780568973+0j),(-0.0001794036258605915+0j),,,,,,,(2.036774040797826e-06+0j)
19,(0.059487867617303083+0j),(0.016707839662418747+0j),(-0.00016708164617803956+0j),,,,,,,(2.0367760816141523e-06+0j)
20,(0.06198335945213838+0j),(0.01670352303147416+0j),(-0.0001545916666985064+0j),,,,,,,(2.036778122430479e-06+0j)
21,(0.06441768119453459+0j),(0.016699542175005484+0j),(-0.00014195065447967467+0j),,,,,,,(2.0367801632468054e-06+0j)
22,(0.06678843046283113+0j),(0.016695900898069566+0j),(-0.00012917585363365883+0j),,,,,,,(2.036782204063132e-06+0j)
23,(0.06909326761319817+0j),(0.016692602541632462+0j),(-0.0001162847550387833+0j),,,,,,,(2.0367842448794584e-06+0j)
24,(0.07132991805070214+0j),(0.01668964997640018+0j),(-0.0001032950645891653+0j),,,,,,,(2.036786285695785e-06+0j)
25,(0.07349617447110039+0j),(0.01668704559751833+0j),(-9.022466991202895e-05+0j),,,,,,,(2.0367883265121114e-06+0j)
26,(0.0755898990403396+0j),(0.016684791320182746+0j),(-7.709160547088443e-05+0j),,,,,,,(2.036790367328438e-06+0j)
27,(0.07760902550530327+0j),(0.01668288857620539+0j),(-6.391401596007535e-05+0j),,,,,,,(2.0367924081447644e-06+0j)
28,(0.07955156123194253+0j),(0.016681338311582687+0j),(-5.071011788379015e-05+0j),,,,,,,(2.036794448961091e-06+0j)
29,(0.08141558917159784+0j),(0.016680140985116394+0j),(-3.749815920000303e-05+0j),,,,,,,(2.0367964897774174e-06+0j)
30,(0.0831992697546029+0j),(0.01667929656814045+0j),(-2.4296376897882914e-05+0j),,,,,,,(2.036798530593744e-06+0j)
31,(0.0849008427031277+0j),(0.01667880454541094+0j),(-1.1122952367578178e-05+0j),,,,,,,(2.0368005714100704e-06+0j)
32,(0.08651862877028785+0j),(0.016678663917220095+0j),(2.0040355855728615e-06+0j),,,,,,,(2.036802612226397e-06+0j)
33,(0.08805103139617805+0j),(0.01667887320279929+0j),(1.5066660232183123e-05+0j),,,,,,,(2.0368046530427235e-06+0j)
34,(0.08949653828428333+0j),(0.01667943044507994+0j),(2.804719905945333e-05+0j),,,,,,,(2.03680669385905e-06+0j)
35,(0.09085372289449278+0j),(0.016680333216884793+0j),(4.092818868988754e-05+0j),,,,,,,(2.0368087346753765e-06+0j)
36,(0.09212124584910604+0j),(0.016681578628625134+0j),(5.3692482676904136e-05+0j),,,,,,,(2.036810775491703e-06+0j)
37,(0.0932978562559968+0j),(0.016683163337581505+0j),(6.632331222858783e-05+0j),,,,,,,(2.0368128163080295e-06+0j)
38,(0.09438239294274735+0j),(0.016685083558845938+0j),(7.880434983983692e-05+0j),,,,,,,(2.036814857124356e-06+0j)
39,(0.09537378560269487+0j),(0.01668733507800174+0j),(9.111977571306623e-05+0j),,,,,,,(2.0368168979406825e-06+0j)
40,(0.09627105585054985+0j),(0.016689913265611995+0j),(0.00010325434671287478+0j),,,,,,,(2.036818938757009e-06+0j)
41,(0.09707331818944216+0j),(0.016692813093578736+0j),(0.00011519346742487363+0j),,,,,,,(2.0368209795733355e-06+0j)
42,(0.0977797808830829+0j),(0.016696029153420375+0j),(0.00012692326266838883+0j),,,,,,,(2.036823020389662e-06+0j)
43,(0.09838974673808566+0j),(0.01669955567649385+0j),(0.0001384306505451217+0j),,,,,,,(2.0368250612059886e-06+0j)
44,(0.09890261379179364+0j),(0.01670338655615946+0j),(0.00014970341479261798+0j),,,,,,,(2.036827102022315e-06+0j)
45,(0.099317875906344+0j),(0.016707515371848683+0j),(0.0001607302748597013+0j),,,,,,,(2.0368291428386416e-06+0j)
46,(0.0996351232681338+0j),(0.016711935414947844+0j),(0.00017150095174662598+0j),,,,,,,(2.036831183654968e-06+0j)
47,(0.09985404279239218+0j),(0.01671663971635342+0j),(0.00018200622728051414+0j),,,,,,,(2.0368332244712946e-06+0j)
48,(0.09997441843193673+0j),(0.016721621075487955+0j),(0.0001922379941629216+0j),,,,,,,(2.036835265287621e-06+0j)
49,(0.09999613139054436+0j),(0.016726872090491108+0j),(0.00020218929387821218+0j),,,,,,,(2.0368373061039476e-06+0j)
50,(0.09991916024014634+0j),(0.016732385189221103+0j),(0.00021185433944420038+0j),,,,,,,(2.036839346920274e-06+0j)
51,(0.09974358094200132+0j),(0.016738152660622462+0j),(0.00022122852007861534+0j),,,,,,,(2.0368413877366006e-06+0j)
52,(0.09946956677163798+0j),(0.01674416668594229+0j),(0.00023030838519911407+0j),,,,,,,(2.036843428552927e-06+0j)
53,(0.09909738814797496+0j),(0.016750419369216795+0j),(0.0002390916058065362+0j),,,,,,,(2.0368454693692536e-06+0j)
